Timestamp, Angle, Speed, Distance, Yaw, Pitch, Roll, AccX, AccY, AccZ, Flag
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.03,-0.04,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.03,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.06,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.05,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.06,-0.18,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.05,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.13,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.06,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.05,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0,-0.05,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.19,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.06,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.14,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.16,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.04,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.06,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.03,-0.17,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:15],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.03,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.06,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.02,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.07,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.07,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.03,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.03,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.06,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.03,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.04,-0.04,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.04,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.03,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.05,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.04,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.08,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.18,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.02,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0,-0.04,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.06,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.03,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.05,-0.06,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.07,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.05,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.03,-0.18,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.02,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.03,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.03,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.03,-0.03,-0.13,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.05,-0.05,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.04,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.01,-0.03,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.05,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.02,-0.03,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.04,-0.05,-0.17,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.02,-0.05,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.03,-0.05,-0.14,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,0.04,-0.16,-0.16,0
[2025-06-06 12:55:16],-9.82,0,0,1.14,0.06,-0.37,-0.08,-0.05,-0.13,0
[2025-06-06 12:55:16],-9.8,0,0,1.12,0.06,-0.37,0.04,-0.03,-0.16,0
[2025-06-06 12:55:16],-9.79,0,0,1.11,0.06,-0.44,0.08,0.06,-0.16,0
[2025-06-06 12:55:16],-9.79,0,0,1.11,0.06,-0.37,-0.04,-0.06,-0.14,0
[2025-06-06 12:55:17],-9.79,0,0,1.1,0.06,-0.37,-0.02,-0.05,-0.15,0
[2025-06-06 12:55:17],-9.78,0,0,1.1,0.06,-0.37,0.02,-0.03,-0.16,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.44,0,-0.04,-0.15,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.37,-0.05,-0.09,-0.12,0
[2025-06-06 12:55:17],-9.79,0,0,1.1,0.06,-0.44,0.02,-0.03,-0.17,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.44,0.06,-0.02,-0.16,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.37,-0.05,-0.06,-0.14,0
[2025-06-06 12:55:17],-9.79,0,0,1.1,0.06,-0.37,-0.01,-0.04,-0.15,0
[2025-06-06 12:55:17],-9.79,0,0,1.1,0.06,-0.37,0,-0.03,-0.16,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.37,-0.07,-0.06,-0.14,0
[2025-06-06 12:55:17],-9.79,0,0,1.1,0.06,-0.37,-0.01,-0.06,-0.13,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.37,0.01,-0.04,-0.14,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.37,0,-0.04,-0.16,0
[2025-06-06 12:55:17],-9.79,0,0,1.11,0.06,-0.37,-0.13,-0.08,-0.17,0
[2025-06-06 12:55:17],-9.76,0,0,1.07,0.06,-0.37,0.05,0,-0.12,0
[2025-06-06 12:55:17],-9.74,0,0,1.04,0.06,-0.37,0,-0.05,-0.22,0
[2025-06-06 12:55:17],-9.71,0,0,1.03,0.06,-0.37,0.01,-0.02,-0.12,0
[2025-06-06 12:55:17],-9.68,0,0,0.98,0.06,-0.37,-0.04,-0.07,-0.15,0
[2025-06-06 12:55:17],-9.65,0,0,0.96,0.06,-0.37,0.01,-0.02,-0.13,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,0.03,-0.03,-0.14,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,-0.04,-0.05,-0.18,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,0.03,-0.05,-0.13,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,0,-0.03,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,-0.01,-0.04,-0.18,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,0.01,-0.02,-0.13,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,-0.05,-0.05,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,-0.01,-0.04,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,0.02,-0.03,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.96,0.06,-0.37,-0.03,-0.04,-0.14,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.06,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.06,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.03,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.06,-0.13,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.03,-0.05,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.03,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0,-0.04,-0.17,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.02,-0.05,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.05,-0.17,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.06,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0,-0.03,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.02,-0.03,-0.14,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.02,-0.04,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.05,-0.18,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.03,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.02,-0.05,-0.14,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.02,-0.05,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.02,-0.03,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.04,-0.17,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.05,-0.18,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.02,-0.05,-0.14,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.07,-0.15,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.03,-0.16,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.04,-0.17,0
[2025-06-06 12:55:17],-9.64,0,0,0.95,0.06,-0.37,-0.02,-0.05,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0,-0.03,-0.17,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0,-0.03,-0.18,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.04,-0.16,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.04,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.03,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.03,-0.05,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0.01,-0.04,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.04,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.03,-0.05,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,-0.01,-0.05,-0.15,0
[2025-06-06 12:55:18],-9.64,0,0,0.95,0.06,-0.37,0.02,-0.03,-0.15,0
